"","klasifikasi","score","text"
"342","Negatif",-2," in  senator joe biden voted against ending a major rail strike  he argued that by intervening congress would be "
"343","Netral",0," president trump worked for free joe biden is working for china"
"344","Negatif",-1,"joe bidens dementia is worse "
"345","Netral",0,"   hey whiskey breath where did you get your information didnt know you wh "
"346","Negatif",-1," joe biden belongs in prison not the white house"
"347","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"348","Negatif",-2,"  active duty soldiers kicked out of the military   national guardsmen cut off from their benefits   reserv"
"349","Negatif",-1," joe biden belongs in prison not the white house"
"350","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"351","Negatif",-1," after  vowed to release internal  communications on why the joehunter biden laptop story was quashed ex"
"352","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"353","Netral",0," president trump worked for free joe biden is working for china"
"354","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"355","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"356","Negatif",-3," so much clear evidence of joe biden profiting from hunters illegal business dealings and lying about his know "
"357","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"358","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"359","Netral",0,"   go joe free read  no paywall "
"360","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"361","Netral",0," at the behest of joe biden us senate now using federal law to force railroad workers to accept contracts they voted to reject"
"362","Positif",1,"  you talking about uncle joe biden"
"363","Negatif",-3," i dont defend everything about kanyewest but i listened to his words  he didnt fully praise hitler  he said he d"
"364","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"365","Negatif",-3," joe biden said that he together with french president macron are determined to hold the russian federation and putin"
"366","Netral",0,"joe biden hits record high approval rating thanks to this surprising demographic "
"367","Positif",1," meanwhile at the white house north portico president joe biden and first lady jill biden welcome french president emmanuel ma"
"368","Negatif",-2," sex offender encounters at the southern border have spiked under president joe biden  "
"369","Negatif",-3," macron biden say west will never persuade ukraine to unacceptable compromise with russia  french president emman"
"370","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"371","Positif",1," it wasnt biden who got that wrong it was the nerd who writes for joe biden but it was him who caused "
"372","Negatif",-2," you do know joe biden stands with them too or is that above your pay grade"
"373","Negatif",-6," eventually joe biden will appreciate the constitution when he and his family have their day in court"
"374","Netral",0," every day men and women drop everything to serve and protect our nation  joe bidens willing to discharge them becau"
"375","Negatif",-1," no single person in the modern history of this country has done more damage to our border than joe biden the deaths trashing"
"376","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"377","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"378","Negatif",-3,"  joe biden is a pathological liar and believes his own fantasys "
"379","Netral",0," at the behest of joe biden us senate now using federal law to force railroad workers to accept contracts they voted to reject"
"380","Negatif",-2,"  active duty soldiers kicked out of the military   national guardsmen cut off from their benefits   reserv"
"381","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"382","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"383","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"384","Netral",0," should joe biden take a cognitive test "
"385","Negatif",-4," in april nancy pelosi said joe biden does not have the power to cancel student loan debt  what has changed in  mont"
"386","Negatif",-1," no single person in the modern history of this country has done more damage to our border than joe biden the deaths trashing"
"387","Positif",2," biden just released a statement thanking the bipartisan effort to crush workers who were about to strike   "
"388","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"389","Negatif",-2,"  active duty soldiers kicked out of the military   national guardsmen cut off from their benefits   reserv"
"390","Negatif",-2," biden macron condemn russias war pledge more air defense for ukraine  us president joe biden held a meeting wi"
"391","Negatif",-1," the war in ukraine was utterly unnecessary it was caused because joe biden decided to waive sanctions that i wrote to allo"
"392","Netral",0," at the behest of joe biden us senate now using federal law to force railroad workers to accept contracts they voted to reject"
"393","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"394","Netral",0," already settled  the senate vote was  it came one day after the house voted to impose the agreement "
"395","Positif",1," president joe biden reveals that the department of justice is investigating the  case of the missing renaissance visuals   t"
"396","Positif",1," meanwhile at the white house north portico president joe biden and first lady jill biden welcome french president emmanuel ma"
"397","Positif",2,"  story time in  joe biden returned a rental car to an arizona  inside it police discovered a used "
"398","Negatif",-3," breaking joe biden says he has no immediate plans to speak with vladimir putin unless putin is interested in ending the war"
"399","Negatif",-3," its not joe bidens job to defend the people of china and the cost of defending the people of china "
"400","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"401","Negatif",-4," hey liar joe biden has never been to the border damn youre disgusting"
"402","Netral",0," president trump worked for free joe biden is working for china"
"403","Netral",0," every day men and women drop everything to serve and protect our nation  joe bidens willing to discharge them becau"
"404","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"405","Negatif",-1," i thought there was no inflation will the real joe biden tweet  at this point we all just read this as i "
"406","Positif",1," joe biden and the leftist mob rejoice at low morale amongst bp agents it means theyre winning it means that their actions"
"407","Netral",0," president trump worked for free joe biden is working for china"
"408","Negatif",-4," what is joe bidens plan to bring wendy williams back so she can exclusively comment on the amy robach and tj holmes affa"
"409","Negatif",-4,"joe biden proved who the uneducated people in america are democrats  they are our fascists side "
"410","Negatif",-2,"  joe biden negotied one sick day of leave and the unions rejected it because they wanted "
"411","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"412","Netral",0," very much alive bernie sanders so is hillary barack obama joe biden nancy pelosi chuck schumer and elizabeth warr"
"413","Negatif",-1," joe biden is the head dog in the pack of dogs "
"414","Negatif",-3," breaking a federal appeals court has blocked joe bidens mandate attempting to force christian doctors to kill babies in a"
"415","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"416","Negatif",-2,"  active duty soldiers kicked out of the military   national guardsmen cut off from their benefits   reserv"
"417","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"418","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"419","Negatif",-2," breaking president biden vows to get rail workers paid sick leave in a separate bill says i think were going to ge"
"420","Netral",0," who are you talking about joe biden seriously"
"421","Positif",1,"  democrats in the house voted to crush the rail strike just like joe biden told them to do"
"422","Negatif",-2," actions speak louder than words  no matter how kjp tries to spin it joe bidens actions show us that he is proillegal i"
"423","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"424","Netral",0," president trump worked for free joe biden is working for china"
"425","Netral",0," president trump worked for free joe biden is working for china"
"426","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"427","Negatif",-1," what has joe biden done for black people other than use them for political gain"
"428","Positif",2,"biden urges democrats to scrap caucuses meaning south carolina might be first nominating contest "
"429","Negatif",-1," joe biden belongs in prison not the white house"
"430","Negatif",-2,"  active duty soldiers kicked out of the military   national guardsmen cut off from their benefits   reserv"
"431","Netral",0," at the behest of joe biden us senate now using federal law to force railroad workers to accept contracts they voted to reject"
"432","Negatif",-1," remember when joe biden screwed over our rr workersi do"
"433","Netral",0," every day men and women drop everything to serve and protect our nation  joe bidens willing to discharge them becau"
"434","Negatif",-2," joe biden and the suits on one side railroad workers on the other side easy call"
"435","Netral",0," president trump worked for free joe biden is working for china"
"436","Negatif",-3,"once again joe biden is being sued over the border  "
"437","Netral",0," president trump worked for free joe biden is working for china"
"438","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"439","Netral",0,"am i alone in this i dont believe this story shes a bernie sanders supporter who waited  plus years to come o "
"440","Negatif",-2,"  active duty soldiers kicked out of the military   national guardsmen cut off from their benefits   reserv"
"441","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"442","Positif",1," florida gov ron desantis would defeat president joe biden in a hypothetical  matchup according to a new survey of people"
"443","Negatif",-2," the ap appears to have removed its claim that there is no evidence to suggest that joe biden spoke with hunter about hi"
"444","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"445","Negatif",-2," supreme court puts bidens student loan relief plan on ice "
"446","Positif",1,"dem rep goes after biden for lobster dinner at white house as administration pushes for lobster regulations "
"447","Netral",0," trumps support is declining while desantis is on the rise and most dont want to see joe biden anymore at all "
"448","Negatif",-2," why are you covering for joe biden he did this"
"449","Netral",0," president trump worked for free joe biden is working for china"
"450","Negatif",-1,"  i think all republicans should vote against forcing this contract for the union you kee "
"451","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"452","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"453","Positif",1," joe biden and kamala harris allowed  gotaways to illegally enter our country in november the highest ever reco"
"454","Netral",0,"   joe biden and hilary clinton praised kkk senator robert byrd joe biden even call "
"455","Netral",0,"  go joe free read  no paywall "
"456","Negatif",-1," joe biden belongs in prison not the white house"
"457","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"458","Negatif",-1,"  trying not to over dramatize it but biden taking over the united states most likely has s "
"459","Negatif",-2," breaking president biden vows to get rail workers paid sick leave in a separate bill says i think were going to ge"
"460","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"461","Netral",0," at the behest of joe biden us senate now using federal law to force railroad workers to accept contracts they voted to reject"
"462","Negatif",-2," french president emmanuel macron winks as he and mrs brigitte macron are greeted by president joe biden and first lady d"
"463","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"464","Negatif",-3," do you think joe biden and the democrats are behind ftx"
"465","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"466","Negatif",-1," remember that time that  states shut down vote counting until the middle of the night totally coincidentally and then jo"
"467","Positif",1,"i found the dogfaced pony soldier joe biden was talking about "
"468","Netral",0," president trump worked for free joe biden is working for china"
"469","Netral",0," joe biden campaigned on  weeks of paid leave for all workers "
"470","Negatif",-1," after  vowed to release internal  communications on why the joehunter biden laptop story was quashed ex"
"471","Netral",0," president trump worked for free joe biden is working for china"
"472","Netral",0,"   now do joe biden "
"473","Negatif",-1," joe biden tried to force christian doctors to kill babies in abortions  hes a devout leftist not a devout catholic"
"474","Netral",0," organized labor is in an abusive relationship with the democratic party "
"475","Netral",0," president trump worked for free joe biden is working for china"
"476","Negatif",-2," the problem is that the revision creates a new problem there is every indication that the federal investigation in"
"477","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"478","Negatif",-6," people are fleeing due to lack of affordable housing  not the rampant crime the outrageous taxes "
"479","Netral",0," at the behest of joe biden us senate now using federal law to force railroad workers to accept contracts they voted to reject"
"480","Negatif",-1,"  how about he asks joe biden"
"481","Negatif",-3," joe biden said that he together with french president macron are determined to hold the russian federation and putin"
"482","Negatif",-1,"   a woman who bullied parkland victims and wants to impeach joe biden gets a profile on fr"
"483","Negatif",-9," the thing is people are afraid of don joe bidens politic crime family and his kgb the doj and his gass "
"484","Negatif",-1,"   hey jen you know trumps never had an aneurysm amp  scored  on a cognitive test the results of which he"
"485","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"486","Negatif",-1," joe biden belongs in prison not the white house"
"487","Negatif",-2,"  active duty soldiers kicked out of the military   national guardsmen cut off from their benefits   reserv"
"488","Positif",1," president joe biden reveals that the department of justice is investigating the  case of the missing renaissance visuals   t"
"489","Netral",0,"  now go to joe biden "
"490","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"491","Netral",0," president trump worked for free joe biden is working for china"
"492","Negatif",-1," no matter who the republicans nominate they mathematically will not have the votes to defeat the unified democrats whe"
"493","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"494","Negatif",-2," why wont joe biden defend the people of china"
"495","Netral",0," joe bidens nonbinary nuclear agent fired for stealing luggage amp  going   via  ht"
"496","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"497","Netral",0,"joe biden remembers where it all started  "
"498","Negatif",-1," joe biden belongs in prison not the white house"
"499","Negatif",-5," todays democrat partyjoe biden chuck schumer and john kerry cannot be bothered to care about the slavery misery and op"
"500","Negatif",-2," a federal appeals court on wednesday declined to put on hold a texas judges ruling that said president joe bidens plan to ca"
"501","Netral",0," every day men and women drop everything to serve and protect our nation  joe bidens willing to discharge them becau"
"502","Negatif",-2," breaking president biden vows to get rail workers paid sick leave in a separate bill says i think were going to ge"
"503","Negatif",-2,"     look at the picture again its not "
"504","Netral",0," at the behest of joe biden us senate now using federal law to force railroad workers to accept contracts they voted to reject"
"505","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"506","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"507","Netral",0," at the behest of joe biden us senate now using federal law to force railroad workers to accept contracts they voted to reject"
"508","Negatif",-3," i dont defend everything about kanyewest but i listened to his words  he didnt fully praise hitler  he said he d"
"509","Positif",1," meanwhile at the white house north portico president joe biden and first lady jill biden welcome french president emmanuel ma"
"510","Netral",0," president trump worked for free joe biden is working for china"
"511","Netral",0," joe james eastland never called me boy biden"
"512","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"513","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"514","Netral",0," president trump worked for free joe biden is working for china"
"515","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"516","Negatif",-3," our country is disgusting and joe biden is a piece of shit remember kids being not trump is not fucking enough i"
"517","Netral",0," the senate vote was  it came one day after the house voted to impose the agreement the measure "
"518","Negatif",-3," i dont defend everything about kanyewest but i listened to his words  he didnt fully praise hitler  he said he d"
"519","Negatif",-3," theres still time for joe biden to make our week and remove ginni thomas from her federal position"
"520","Netral",0," may you all own something in your lives the way joe biden owns kevin mccarthy"
"521","Netral",0," president trump worked for free joe biden is working for china"
"522","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"523","Negatif",-1," dear  like other politicians this is a misplaced priority and totally condemn in the stro "
"524","Negatif",-1," dear   the vermont aflcio is troubled that president joe biden a democrat would seek to have congress impose"
"525","Positif",1," musician jon batiste will perform thursday at president joe bidens first white house state dinner which will honor french preside"
"526","Netral",0," every day men and women drop everything to serve and protect our nation  joe bidens willing to discharge them becau"
"527","Netral",0," president trump worked for free joe biden is working for china"
"528","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"529","Netral",0," president trump worked for free joe biden is working for china"
"530","Netral",0," president trump worked for free joe biden is working for china"
"531","Negatif",-2,"the us specifically democrats and the diaper joe biden admin assisted in the stolen election in brazil they had "
"532","Netral",0," dont call your fellow dems names we are all putting up with stress amp  we take turns getting angry don "
"533","Negatif",-1," five secret service rental cars had to be torched after joe bidens thanksgiving weekend trip to nantucket and the media"
"534","Netral",0," president trump worked for free joe biden is working for china"
"535","Negatif",-2," why wont joe biden defend the people of china"
"536","Negatif",-2," im so pissed and confused  ive lived my whole life believing i was black because my mom told me i was   yrs later i"
"537","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"538","Negatif",-3," it says a lot about joe biden and the democrats when they are constantly okay with being buddy buddy with the chinese"
"539","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"540","Positif",1," probably not a good idea to have someone as fucked up as joe biden telling you how to live your life"
"541","Negatif",-3," do you really need to be reminded that you and joe biden joined  senators in preventing railroad workers from winning "
"542","Negatif",-1," im standing with   all wrongdoing and crimes of joe biden by mistake known as   must be investigated"
"543","Netral",0," joe bidens student loan bailout has been ruled unconstitutional  how many young voters went to the polls tuesday thinkin"
"544","Netral",0," for those not aware this is the deal joe biden is jamming down workers throats"
"545","Negatif",-1," shame on you joe biden"
"546","Netral",0," president trump worked for free joe biden is working for china"
"547","Negatif",-2," supreme court puts bidens student loan relief plan on ice "
"548","Netral",0," president trump worked for free joe biden is working for china"
"549","Negatif",-1," joe biden belongs in prison not the white house"
"550","Negatif",-2,"go team usa we are all behind you joe biden shirt  "
"551","Positif",2," truth that is gonna frustrate some rural folks joe biden is keeping your hospitals open not texas conservatives for whom"
"552","Netral",0," president trump worked for free joe biden is working for china"
"553","Negatif",-2,"  it would be more relevant to ask lebron why he endorsed joe biden who gave a eulogy to a "
"554","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"555","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"556","Netral",0," president trump worked for free joe biden is working for china"
"557","Netral",0," president trump worked for free joe biden is working for china"
"558","Negatif",-3,"  sorry  million people did not vote for joe biden i doubt of  million people voted for hi "
"559","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"560","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"561","Negatif",-1," after  vowed to release internal  communications on why the joehunter biden laptop story was quashed ex"
"562","Negatif",-3,"it appears that democrats in the house will work to pass what they can in the little time they have left in the maj "
"563","Negatif",-2," serious question here  what number is higher  the minutes  spends obsessing over trump or t "
"564","Negatif",-2,"  if thats the case joe bidens follower count should drop by about "
"565","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"566","Netral",0," president trump worked for free joe biden is working for china"
"567","Negatif",-1," joe biden is hosting the french president at the white house this week and celebrating  "
"568","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"569","Negatif",-3," joe biden he lies a lot and joe biden is a jim crow democrat "
"570","Netral",0," president trump worked for free joe biden is working for china"
"571","Negatif",-1," after  vowed to release internal  communications on why the joehunter biden laptop story was quashed ex"
"572","Netral",0," exclusive tara reade calls gopmajority house to investigate alleged sexual assault by joe biden "
"573","Negatif",-1," joe biden belongs in prison not the white house"
"574","Negatif",-1," joe biden is such a disgrace our railroad companies are on the verge of shutting down"
"575","Netral",0," president trump worked for free joe biden is working for china"
"576","Positif",1," whats going on with joe bidens first state dinner jwp "
"577","Negatif",-3," but yet many people wont condemn china including joe biden"
"578","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"579","Netral",0," president trump worked for free joe biden is working for china"
"580","Netral",0," president trump worked for free joe biden is working for china"
"581","Negatif",-4,"why would anyone be influenced by obama he gave us joe biden think he didnt know about hunter and joes side bus "
"582","Negatif",-3," i dont defend everything about kanyewest but i listened to his words  he didnt fully praise hitler  he said he d"
"583","Negatif",-1," justin trudeau boris johnson ursula leyen joe biden do not want you to see these protests against nato and united stat"
"584","Positif",1," joe wallstreet biden coming through again for the oligarch class"
"585","Netral",0," president trump worked for free joe biden is working for china"
"586","Positif",1,"  the bidens are as corrupt as the clintons amp  barack hussein  lock them up quid pro joe t "
"587","Negatif",-3," it says a lot about joe biden and the democrats when they are constantly okay with being buddy buddy with the chinese"
"588","Positif",1," is this chris cillizzas final cnn article about kanye west ivanka trump and joe biden  no but please enjoy the paro"
"589","Positif",3," i am as strong a republican as anyone but those republicans thats been in office as long as joe biden its time for them to go"
"590","Negatif",-2," breaking president biden vows to get rail workers paid sick leave in a separate bill says i think were going to ge"
"591","Netral",0," every day men and women drop everything to serve and protect our nation  joe bidens willing to discharge them becau"
"592","Netral",0," no one has done as much to destroy a country as the biden crime boss joe biden"
"593","Netral",0," remember when joe biden told a room full of american workers im not working for you dont be such a horses ass"
"594","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"595","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"596","Netral",0," when are you and abc going to start asking why joe biden is selling the usa out for financial gain "
"597","Netral",0," joe biden has not been to the southern border"
"598","Negatif",-3," there is an overwhelming amount of evidence joe biden knew  and benefitted from  hunter bidens overseas business dea"
"599","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"600","Negatif",-1," you mean like half wit joe biden hiding in the basement"
"601","Netral",0," president trump worked for free joe biden is working for china"
"602","Positif",1," florida gov ron desantis would defeat president joe biden in a hypothetical  matchup according to a new survey of people"
"603","Positif",1," democrats getting things done as usual thanks joe biden trublue proudblue demvoice onev ourbluevoice"
"604","Netral",0," president trump worked for free joe biden is working for china"
"605","Negatif",-3," president trump imposed tariffs on china withdrew from the prochina who and sanctioned communist officials  joe biden"
"606","Negatif",-3," do you really need to be reminded that you and joe biden joined  senators in preventing railroad workers from winning "
"607","Positif",2," just your periodic reminder that joe biden is donald trumps president"
"608","Netral",0," joe bidens nonbinary nuclear agent fired for stealing luggage amp  going   via  ht"
"609","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"610","Positif",1,"  the bidens are as corrupt as the clintons amp  barack hussein  lock them up quid pro joe t "
"611","Netral",0," at the behest of joe biden us senate now using federal law to force railroad workers to accept contracts they voted to reject"
"612","Negatif",-2," joe biden does too"
"613","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"614","Netral",0,"joe biden drops iowa pushes south carolina as st  primary state   "
"615","Negatif",-5,"    no where close and again joe biden has been doing the same "
"616","Netral",0," at the behest of joe biden us senate now using federal law to force railroad workers to accept contracts they voted to reject"
"617","Netral",0," resident indians fyi  if joe biden doesnt give way to an ambulance  not just american news media but the entire populatio"
"618","Negatif",-1," im standing with   all wrongdoing and crimes of joe biden by mistake known as   must be investigated"
"619","Netral",0," at the behest of joe biden us senate now using federal law to force railroad workers to accept contracts they voted to reject"
"620","Negatif",-3,"  the real joe biden  bomb belgrade  take out their oil supply  send american pilots in and blow up all the bridg"
"621","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"622","Netral",0," every day men and women drop everything to serve and protect our nation  joe bidens willing to discharge them becau"
"623","Negatif",-1," justin trudeau boris johnson ursula leyen joe biden do not want you to see these protests against nato and united stat"
"624","Negatif",-1,"  this is joe bidens fu to workers lets put the blame where it belongs"
"625","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"626","Netral",0,"    sure okay i cant wait to hear how you feel about joe bidens s "
"627","Negatif",-2,"  joe biden has a history that the worthless media strangely refuse to challenge"
"628","Negatif",-1," who threatens half of americas population with whats you gonna do attack us with nuclear bombs "
"629","Negatif",-3,"  the real joe biden  bomb belgrade  take out their oil supply  send american pilots in and blow up all the bridg"
"630","Negatif",-1," no single person in the modern history of this country has done more damage to our border than joe biden the deaths trashing"
"631","Netral",0," at the behest of joe biden us senate now using federal law to force railroad workers to accept contracts they voted to reject"
"632","Negatif",-2," is money laundering not a crime anymore joe biden and the democrats should be in jail"
"633","Netral",0," joe biden and congress have infinite money for ukraine  but cant give railroad workers basic demands "
"634","Netral",0," joe biden and congress have infinite money for ukraine  but cant give railroad workers basic demands "
"635","Negatif",-2," french president emmanuel macron winks as he and mrs brigitte macron are greeted by president joe biden and first lady d"
"636","Netral",0," president trump worked for free joe biden is working for china"
"637","Negatif",-3," macron biden say west will never persuade ukraine to unacceptable compromise with russia  french president emman"
"638","Netral",0," at the behest of joe biden us senate now using federal law to force railroad workers to accept contracts they voted to reject"
"639","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"640","Netral",0," president trump worked for free joe biden is working for china"
"641","Netral",0," moreover the  midterms proved joe biden was more popular than the pollsters political pundits and highpaid analy"
"642","Negatif",-2," i thought you was all in on joe biden  what happened"
"643","Negatif",-6," if joe biden wasnt president the invasion never happens  weak weak weak  pres dementia and madam fel "
"644","Netral",0," president trump worked for free joe biden is working for china"
"645","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"646","Negatif",-1," no single person in the modern history of this country has done more damage to our border than joe biden the deaths trashing"
"647","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"648","Netral",0,"so why is shower trending  this have anything to do with joe biden"
"649","Negatif",-1," no single person in the modern history of this country has done more damage to our border than joe biden the deaths trashing"
"650","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"651","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"652","Positif",1," its disgraceful that we should need such an amendment in drowsy joe bidens america but as you know if yo "
"653","Positif",2,"were going to be phasing out the use of oil  biden advisor  the right scoop what an antiamerican president j "
"654","Negatif",-2," joe biden jay z snoop and the marxist demonrats are devolving"
"655","Negatif",-1," i dont get why people assume that bc you dont like conservatives you do like joe biden   yall dont know how to multit"
"656","Negatif",-1," dem maine congressman blasts biden over ritzy lobster feast  joe has always been a hypocrite"
"657","Negatif",-1," joe biden belongs in prison not the white house"
"658","Positif",1,"to prove my point that biden is a trans closet perveis that sam brintons replacement shows off her  new boob "
"659","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"660","Netral",0,"   at a car race the crowd was chanting fck joe biden the reporter inte "
"661","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"662","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"663","Negatif",-1," joe bidens piggy bank is ukraineand our money is funding itjoe biden is a traitor to the usa and a child molester"
"664","Negatif",-3," the left the democrats joe biden tim apple cook and the leftist media are all a bunch of com "
"665","Netral",0," president trump worked for free joe biden is working for china"
"666","Negatif",-2," have you ever heard anyone compliment joe bidens golf swing "
"667","Negatif",-4,"  he is for the people  listen carefully to barack obama joe biden and gavin newsom and "
"668","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"669","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"670","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"671","Netral",0," at the behest of joe biden us senate now using federal law to force railroad workers to accept contracts they voted to reject"
"672","Negatif",-1,"  thank you joe biden people will remember this come voting time just keep fighting for the peo "
"673","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"674","Netral",0," at the behest of joe biden us senate now using federal law to force railroad workers to accept contracts they voted to reject"
"675","Negatif",-2," french president emmanuel macron winks as he and mrs brigitte macron are greeted by president joe biden and first lady d"
"676","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"677","Negatif",-1," joe biden belongs in prison not the white house"
"678","Negatif",-4," without a doubt joe biden is what i would consider a boat anchor if you want to sink a ship you throw in somebody like that"
"679","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"680","Netral",0," joe biden forgot to read the part of the notecard that tells him to leave the mic on the podium "
"681","Netral",0," government prostitution of child sex trafficking wheres the fbi joe biden knows about this "
"682","Negatif",-2,"supreme court puts bidens student loan relief plan on ice "
"683","Negatif",-2," french president emmanuel macron winks as he and mrs brigitte macron are greeted by president joe biden and first lady d"
"684","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"685","Netral",0," ooh ooh ooh i know this one  joe biden"
"686","Netral",0," joe biden campaigned on  weeks of paid leave for all workers "
"687","Netral",0," president trump worked for free joe biden is working for china"
"688","Netral",0," president trump worked for free joe biden is working for china"
